initx_p,inity_p,initz_p,actx_ent,acty_ent,actz_ent,actx_exit,acty_exit,actz_exit,predx_ent,predy_ent,predz_ent,predx_exit,predy_exit,predz_exit
-0.027847,0.976661,0.212972,-7.36149,159.831,34.8787,-132.005,957.985,210.619,-4.55036,159.937,34.8759,-30.7762,1095.57,238.899
-0.376102,0.832428,0.406952,-68.5974,144.549,71.2859,-565.395,921.476,482.818,-65.869,145.814,71.2822,-450.817,998.992,488.281
-0.563601,0.160641,-0.810277,-194.066,47.7625,-276.39,-821.332,104.038,-1149.13,-153.869,43.8736,-221.22,-840.423,240.051,-1208.45
-0.563601,0.160641,-0.810277,-194.066,47.7625,-276.39,-709.225,100.588,-1112.83,-153.869,43.8736,-221.22,-840.423,240.051,-1208.45
-0.437576,-0.735155,-0.517759,-79.0764,-139.093,-96.831,-396.046,-901.03,-595.664,-81.845,-137.483,-96.831,-561.024,-941.525,-663.291
-0.437576,-0.735155,-0.517759,-79.0764,-139.093,-96.831,-281.636,-584.404,-1012.46,-81.845,-137.483,-96.831,-561.024,-941.525,-663.291
-0.73689,-0.670469,0.0863965,-116.484,-109.689,13.8673,-611.247,-675.479,80.0615,-118.353,-107.672,13.8755,-810.968,-737.26,95.0462
0.866853,-0.299502,0.398579,152.181,-49.407,69.5414,886.902,-204.968,397.049,151.226,-52.2603,69.5351,1035.75,-358.377,476.312
0.172159,0.560946,0.809754,51.5719,192.822,275.548,97.7673,450.949,637.416,46.9599,152.954,220.803,257.393,836.995,1208.45
-0.296165,-0.942591,0.154302,-45.3121,-153.45,24.9812,-169.551,-759.927,121.146,-47.9705,-152.641,24.9879,-328.966,-1045.47,171.165
0.776164,0.233308,-0.585779,152.216,49.2978,-115.651,912.86,415.443,-724.695,153.231,46.0476,-115.643,1049.77,314.97,-792.15
