wire_label,csag,xsag,ysag,stretch
g4,0.000000|,-0.000000|,-0.047369|,1.4959e-07
s1,0.000000|,-0.000000|,-0.075791|,3.82951e-07
g9,0.000000|,-0.000000|,-0.047369|,1.4959e-07
s2,0.000000|,-0.000000|,-0.075791|,3.82951e-07
g10,0.000000|,-0.000000|,-0.047369|,1.4959e-07
s3,0.000000|,-0.000000|,-0.075791|,3.82951e-07
g13,0.000000|,-0.000000|,-0.047369|,1.4959e-07
g14,0.000000|,-0.000000|,-0.047369|,1.4959e-07
g15,0.000000|,-0.000000|,-0.047369|,1.4959e-07
g16,0.000000|,-0.000000|,-0.047369|,1.4959e-07
g17,0.000000|,-0.000000|,-0.047369|,1.4959e-07
g19,0.000000|,-0.000000|,-0.047369|,1.4959e-07
s4,0.000000|,-0.000000|,-0.075791|,3.82951e-07
g20,0.000000|,-0.000000|,-0.047369|,1.4959e-07
s5,0.000000|,-0.000000|,-0.075791|,3.82951e-07
g21,0.000000|,-0.000000|,-0.047369|,1.4959e-07
s6,0.000000|,-0.000000|,-0.075791|,3.82951e-07
g22,0.000000|,-0.000000|,-0.047369|,1.4959e-07
g24,0.000000|,-0.000000|,-0.047369|,1.4959e-07
g25,0.000000|,-0.000000|,-0.047369|,1.4959e-07
g26,0.000000|,-0.000000|,-0.047369|,1.4959e-07
g27,0.000000|,-0.000000|,-0.047369|,1.4959e-07
g28,0.000000|,-0.000000|,-0.047369|,1.4959e-07
s7,0.000000|,-0.000000|,-0.075791|,3.82951e-07
g31,0.000000|,-0.000000|,-0.047369|,1.4959e-07
s8,0.000000|,-0.000000|,-0.075791|,3.82951e-07
g32,0.000000|,-0.000000|,-0.047369|,1.4959e-07
s9,0.000000|,-0.000000|,-0.075791|,3.82951e-07
g37,0.000000|,-0.000000|,-0.047369|,1.4959e-07
